Date,Versus,Inns,Mdns,Runs,"wicket{0)avg:0-4),1(best:5-..)}"
25/1/1985,New Zealand,1st,4,105,0
9/2/1985,New Zealand,1st,6,56,1
9/1/1985,New Zealand,2nd,10,72,1
16/10/1985,Sri Lanka,1st,12,98,0
27/10/1985,Sri Lanka,1st,4,38,0
27/10/1985,Sri Lanka,2nd,4,74,0
7/11/1985,Sri Lanka,1st,7,17,0
7/11/1985,Sri Lanka,2nd,4,24,0
23/2/1986,Sri Lanka,1st,3,21,0
23/2/1986,Sri Lanka,2nd,7,45,1
13/3/1986,Sri Lanka,1st,9,55,0
13/3/1986,Sri Lanka,2nd,1,10,0
22/3/1986,Sri Lanka,1st,8,41,0
22/3/1986,Sri Lanka,2nd,11,72,0
24/10/1986,West Indies,1st,3,91,1
24/10/1986,West Indies,2nd,5,30,0
7/11/1986,West Indies,1st,2,16,0
3/2/1987,India,1st,10,78,0
11/2/1987,India,1st,6,96,1
11/2/1987,India,2nd,4,46,0
21/2/1987,India,1st,5,88,0
21/2/1987,India,2nd,1,17,0
4/3/1987,India,1st,2,60,0
4/6/1987,England,1st,11,111,0
18/6/1987,England,1st,1,98,0
2/7/1987,England,1st,4,36,0
2/7/1987,England,2nd,5,5,0
23/7/1987,England,1st,12,83,0
23/7/1987,England,2nd,0,41,0
6/8/1987,England,1st,2,37,0
6/8/1987,England,2nd,3,3,0
25/11/1987,England,1st,4,32,0
25/11/1987,England,2nd,0,4,0
16/12/1987,England,1st,3,64,0
2/4/1988,West Indies,1st,5,41,0
2/4/1988,West Indies,2nd,1,7,0
14/4/1988,West Indies,1st,4,35,0
14/4/1988,West Indies,2nd,4,75,0
22/4/1988,West Indies,1st,1,88,0
22/4/1988,West Indies,2nd,7,73,0
15/11/1989,India,1st,4,83,0
15/11/1989,India,2nd,7,68,0
23/11/1989,India,1st,4,107,0
23/11/1989,India,2nd,6,86,0
1/12/1989,India,1st,6,65,0
12/1/1990,Australia,1st,9,62,1
12/1/1990,Australia,2nd,12,98,1
19/1/1990,Australia,1st,10,100,1
19/1/1990,Australia,2nd,3,29,0
3/2/1990,Australia,1st,3,29,0
10/10/1990,New Zealand,1st,12,44,0
10/10/1990,New Zealand,2nd,5,60,0
18/10/1990,New Zealand,1st,3,43,0
18/10/1990,New Zealand,2nd,4,15,0
15/11/1990,West Indies,1st,1,61,0
15/11/1990,West Indies,2nd,6,39,0
23/11/1990,West Indies,1st,1,63,0
23/11/1990,West Indies,2nd,0,46,0
6/12/1990,West Indies,1st,4,61,0
6/12/1990,West Indies,2nd,0,28,1
12/12/1991,Sri Lanka,1st,7,47,0
12/12/1991,Sri Lanka,2nd,4,31,0
2/1/1992,Sri Lanka,1st,8,62,0
2/1/1992,Sri Lanka,2nd,2,71,0
